step,E,K,min_distance,kinetic_energy,potential_energy,control_effort,triggered,outside_corridor
0,0.0004733527900520867,1.0,4.972924229833116,11.25,0.0059169098756510835,0.1875,0,0
1,0.0005372222648061077,1.0,4.997118701672747,10.786132812499998,0.0067152783100763455,0.37109375,0,0
2,0.0005832214914611244,1.0,4.966853408943994,10.34139209323459,0.007290268643264055,0.5508626302083333,0,0
3,0.000239343194151742,1.0,4.978749741329939,9.91498920744584,0.002991789926896775,0.7268863254123265,0,0
4,0.000426488907089063,1.0,5.002218345119423,9.506168037867996,0.005331111338613287,0.8992428602995698,0,0
5,0.0017243125995141289,1.0,4.9469289022268255,9.114203643945485,0.021553907493926612,1.0680086340433288,0,0
6,0.0007798284068507035,1.0,4.982419677690879,8.738400976334885,0.009747855085633793,1.233258454167426,0,0
7,0.00026616145734360526,1.0,4.99244463681115,8.378093644411353,0.0033270182167950656,1.395065569705605,0,0
8,0.00042473997793752305,1.0,4.971931859375761,8.032642734594047,0.005309249724219038,1.5535017036700713,0,0
9,0.0002975939132396834,1.0,4.996699048095443,7.701435677395072,0.0037199239154960422,1.7086370848436112,0,0
10,0.0016290227910119865,1.0,4.998006019548722,7.383885161183035,0.02036278488764983,1.8605404789093696,0,0
11,0.0005247662461546616,1.0,4.979008096450076,7.079428090734949,0.0065595780769332705,2.009279218932091,0,0
12,0.00023258076034240796,1.0,4.996396486395947,6.787524588729819,0.0029072595042800996,2.1549192352043387,0,0
13,0.0001525750996741691,1.0,4.98877644884623,6.507657038413269,0.0019071887459271137,2.2975250844709154,0,0
14,0.00023645138880383496,1.0,4.997949258138676,6.239329165735638,0.002955642360047937,2.4371599785444378,0,0
15,0.0013986458716663392,1.0,4.953078586596457,5.9820651593359475,0.01748307339582924,2.5738858123247623,0,0
16,0.002851288060739827,1.0,5.034449811329506,5.735408826811245,0.03564110075924783,2.707763191234663,0,0
17,0.00037370428723117524,1.0,4.975306077887966,5.498922785775191,0.00467130359038969,2.838851458083941,0,0
18,0.0002548831730173226,1.0,4.981132560255932,5.272187688271439,0.0031860396627165326,2.9672087193738585,0,0
19,0.00037767582793608124,1.0,4.981719142462769,5.054801477166497,0.004720947849201016,3.0928918710535704,0,0
20,0.0008238736189172828,1.0,4.976378253805459,4.846378673203468,0.010298420236466035,3.2159566237399537,0,0
21,0.0011763117287514372,1.0,4.957941684530292,4.646549691452456,0.014703896609392966,3.3364575274120383,0,0
22,0.0011030611963109783,1.0,4.9579062455676155,4.454960185945519,0.01378826495388723,3.454447995590954,0,0
23,0.005383477534809576,1.0,4.912975523585749,4.271270421334051,0.0672934691851197,3.569980329016142,0,0
24,0.0004865562467114096,1.0,4.988370470481063,4.0951546704543915,0.0060819530838926205,3.683105738828306,0,0
25,0.0019517333166609258,1.0,4.969691182714996,3.926300636733399,0.024396666458261572,3.7938743692693833,0,0
26,0.000981257264197231,1.0,4.959353591480584,3.764408900409757,0.01226571580246539,3.902335319909605,0,0
27,0.0005991667263494523,1.0,4.974200656759557,3.609192387589042,0.007489584079368154,4.008536667411488,0,0
28,0.000810155692163009,1.0,4.968955496529176,3.4603758611910567,0.010126946152037613,4.112525486840416,0,0
29,0.0019062871398476983,1.0,5.013480378330744,3.3176954328867376,0.02382858924809623,4.21434787253124,0,0
30,0.0006869820944656726,1.0,4.965693102133862,3.180898095159203,0.008587276180820908,4.314048958520174,0,0
31,0.002989362903558089,1.0,4.937392837280579,3.0497412726591495,0.037367036294476116,4.411672938551004,0,0
32,0.00037946978188862764,1.0,4.978140527662051,2.9239923920590543,0.004743372273607846,4.507263085664524,0,0
33,0.0001930811391578784,1.0,4.989149316824034,2.8034284696434244,0.00241351423947348,4.600861771379846,0,0
34,0.00043644188651615094,1.0,5.006720668782358,2.6878357159037876,0.005455523581451887,4.6925104844761,0,0
35,0.0009754491712426947,1.0,4.9823230533561995,2.577009156437268,0.012193114640533683,4.782249849382849,0,0
36,0.00059179912144385,1.0,4.973306488857583,2.47075226847653,0.007397489018048126,4.8701196441873735,0,0
37,0.002794217779371731,1.0,4.998347270199985,2.368876632406534,0.03492772224214664,4.956158818266803,0,0
38,0.0008659857181406517,1.0,4.987799716187212,2.2712015976501885,0.010824821476758145,5.0404055095529126,0,0
39,0.0005522523451083041,1.0,4.971645613398855,2.177553962330411,0.0069031543138538005,5.122897061437228,0,0
40,0.0008270134979979227,1.0,4.96461171011719,2.0877676661405715,0.010337668724974033,8.38958435542376,0,0
41,0.003143587337602013,1.0,4.934626473166032,0.6834591990784527,0.03929484172002516,11.529564675050132,0,0
42,0.00027916580181549714,1.0,4.988668209254508,2.1170227212349144,0.003489572522693714,14.552646915152483,0,0
43,0.00027159126878072913,1.0,4.978167745917535,6.06180129214499,0.003394890859759114,17.5702571586334,0,0
44,0.0025022849702075905,1.0,4.9377529421502055,12.536584972889848,0.03127856212759488,20.45267420560587,0,0
45,7.076625740762289e-05,1.0,5.004429770855853,21.111028811309268,0.0008845782175952862,23.304012278513436,0,0
46,0.002384995254549168,1.0,4.935557698932605,31.84472222272874,0.029812440681864602,26.117713352767975,0,0
47,0.003104718926478028,1.0,4.93297692014929,44.645540606339985,0.038808986580975355,28.819060026504708,0,0
48,0.0015057647923651684,1.0,4.994759054408472,59.00996643797958,0.018822059904564606,31.472202832247387,0,0
49,0.0008350051269513157,1.0,4.963464086528385,75.11211530492858,0.010437564086891445,34.03593276642893,0,0
50,0.0003988817699174636,1.0,4.993060044743018,92.48951864166456,0.004986022123968295,36.67000698513791,0,0
51,0.0014704557862004217,1.0,4.993692396947244,112.22910432872901,0.01838069732750527,39.16045301632489,0,0
52,0.0012356444944292978,1.0,4.983634349613979,132.66202419634075,0.015445556180366223,41.63838987533381,0,0
53,0.0017286445928985541,1.0,4.956138019114729,154.74350751349758,0.021608057411231927,44.0648753040306,0,0
54,0.0005786012987629722,1.0,4.9985689539725655,178.03134169283814,0.007232516234537153,46.461409876832036,0,0
55,0.0019716863976215774,1.0,5.019194978514286,202.5956316900721,0.024646079970269717,48.786886035816615,0,0
56,0.00017211324099545026,1.0,4.983008253028462,227.9388676959142,0.002151415512443128,51.09683429663807,0,0
57,0.003520925261143684,1.0,5.036283216021633,254.672732548656,0.04401156576429605,53.348142122864694,0,0
58,0.0013799103088803651,1.0,4.968024481422394,282.03999705269564,0.017248878861004565,55.61088013291567,0,0
59,0.0003102818474727553,1.0,5.00088419304033,310.9983051912342,0.0038785230934094412,57.700880173832886,0,0
60,0.00021393196664830548,1.0,4.998913382883039,339.0414792368908,0.0026741495831038185,59.81038385433905,0,0
61,0.002260327245486137,1.0,5.010260438232297,368.5986965601096,0.028254090568576713,61.866013463998954,0,0
62,0.0021856983663894793,1.0,4.952420723026282,398.5765233855454,0.027321229579868492,63.849160237085975,0,0
63,0.0006105380064334198,1.0,4.9990092457131645,428.54957657732496,0.007631725080417747,65.85582011653774,0,0
64,0.0002882959820864373,1.0,5.006552340160795,460.0457546425085,0.003603699776080466,67.80509850748689,0,0
65,0.0014572736285864546,1.0,4.958645936068872,491.7170356146616,0.018215920357330682,69.63055194302608,0,0
66,0.0010599357852108771,1.0,4.975085448633989,522.3410310908895,0.013249197315135965,71.46750436419993,0,0
67,0.00023477746133974763,1.0,4.985163567144771,554.0889532176304,0.0029347182667468453,73.27522753179302,0,0
68,0.002300408837644521,1.0,4.935682769480712,586.1090463602864,0.02875511047055651,75.01160750873291,0,0
69,0.0003788049442266101,1.0,4.98154038839808,617.844485104969,0.004735061802832626,76.80328491556214,0,0
70,0.0005413541276926698,1.0,4.969328559425503,651.4728608948766,0.006766926596158372,78.52935317395756,0,0
71,0.0008672831996118825,1.0,5.001891847544957,684.7078883329392,0.010841039995148532,80.21494390464667,0,0
72,0.001463122949235144,1.0,4.9968656890943475,717.9751561329003,0.018289036865439298,81.82052208118814,0,0
73,0.007129382411189631,1.0,5.030475242035765,750.3100925698262,0.08911728013987039,83.45351455383484,0,0
74,0.0002478231399771471,1.0,4.983238126811848,783.9666599470384,0.0030977892497143387,85.01135825508145,0,0
75,0.0015728791729755413,1.0,4.994859054883409,816.8010447195819,0.01966098966219427,86.47642287177368,0,0
76,0.000733672385396173,1.0,4.973555122610718,848.3079571166899,0.009170904817452162,88.03566760410685,0,0
77,0.0017617110618072332,1.0,4.954221618010407,882.4726785585349,0.022021388272590415,89.47419860320458,0,0
78,0.0006084300907831953,1.0,5.009164119379587,914.6013153921216,0.007605376134789941,90.89659118418186,0,0
79,0.002075781701286201,1.0,4.936278681920715,946.944739101888,0.02594727126607751,92.31459761600846,0,0
80,0.00029546655745449064,1.0,5.002484810081119,979.6662571551713,0.003693331968181133,93.66747536798698,0,0
81,0.0015333578051647625,1.0,4.960071537985533,1011.4514818712288,0.019166972564559532,94.95948940420719,0,0
