time,incoming_signal,delayed_response,delay_tau,temporal_boundary_error,rolling_tbe,recovery_pressure,temporal_state,state_numeric
0,0.039737132240898615,0.039737132240898615,3,0.0,0.0,0.0,synchronized,1
1,0.11361358929153292,0.039737132240898615,3,0.07387645705063431,0.036938228525317154,0.04309459994620335,synchronized,1
2,0.29921904230257834,0.039737132240898615,3,0.25948191006167975,0.11111945570410468,0.12963936498812215,synchronized,1
3,0.48811491759868963,0.039737132240898615,3,0.44837778535779105,0.19543403811752627,0.22800637780378066,synchronized,1
4,0.46069326862633614,0.05081860079849376,3,0.4098746678278424,0.23832216405958948,0.27804252473618774,synchronized,1
5,0.5663663163845277,0.08807866702410645,3,0.4782876493604213,0.27831641160972814,0.3247024802113495,synchronized,1
6,0.8079757852639254,0.14808410461029392,3,0.6598916806536315,0.33282716433028575,0.3882983583853334,synchronized,1
7,0.8289382805682598,0.19497547921270025,3,0.6339628013555596,0.370469118958445,0.43221397211818585,synchronized,1
8,0.8039130339331003,0.25068410478847436,3,0.553228929144626,0.3907757645346873,0.45590505862380193,synchronized,1
9,0.9456723975859723,0.334277856859792,3,0.6113945407261803,0.4128376421538366,0.48164391584614274,synchronized,1
10,0.9119112039305892,0.4084769204160622,3,0.503434283514527,0.46318107050528934,0.5403779155895042,synchronized,1
11,0.9436346767375351,0.4677923374436179,3,0.47584233929391717,0.5033776587296176,0.587273935184554,synchronized,1
12,1.016851968329337,0.539474346464971,3,0.47737762186436605,0.5251672299098862,0.612695101561534,synchronized,1
13,0.8454689209672077,0.5953398750848138,3,0.25012904588239393,0.5053423559623464,0.5895660819560709,synchronized,1
14,0.8459925202728943,0.6475840953327219,3,0.1984084249401724,0.4841957316735795,0.5648950202858428,synchronized,1
15,0.909102779270416,0.7029742762822141,3,0.20612850298820196,0.45697981703635754,0.5331431198757505,synchronized,1
16,0.8282709371989279,0.7243484729849632,3,0.10392246421396467,0.4013828953923909,0.4682800446244561,synchronized,1
17,0.875459576426074,0.7425950800781528,3,0.1328644963479212,0.351273064891627,0.4098185757068982,synchronized,1
18,0.7054312708462244,0.7675712349569922,3,0.06213996411076783,0.3021641683882413,0.35252486311961484,synchronized,1
19,0.5807007358464484,0.7766761902932825,3,0.19597545444683406,0.2606222597603066,0.30405930305369105,synchronized,1
20,0.7157240456176809,0.7914936982132013,3,0.07576965259552038,0.21785579666840596,0.2541650961131403,synchronized,1
21,0.47585819457116635,0.7785843341081546,3,0.3027261395369883,0.2005441766927131,0.23396820614149863,synchronized,1
22,0.38706324842736556,0.7489017943688987,3,0.36183854594153314,0.1889902691004298,0.22048864728383477,synchronized,1
23,0.1494661384663443,0.7439251320562159,3,0.5944589935898716,0.22342326387117756,0.2606604745163738,synchronized,1
24,0.09756939009785259,0.7037150914334585,3,0.6061457013356059,0.26419699151072085,0.3082298234291743,synchronized,1
25,0.025465699406137195,0.6562173149825444,3,0.6307516155764072,0.3066593027695414,0.357769186564465,synchronized,1
26,-0.2002746207238926,0.5802046385051145,3,0.7804792592290071,0.3743149822710457,0.43670081264955335,synchronized,1
27,-0.20123797093436807,0.5078093512440253,3,0.7090473221783933,0.4319332648540929,0.5039221423297751,synchronized,1
28,-0.39883432288312426,0.435457803468342,3,0.8342921263514662,0.5091484810781627,0.5940065612578566,synchronized,1
29,-0.4881342880150711,0.3400979398395068,3,0.828232227854578,0.5723741584189371,0.66776985148876,synchronized,1
30,-0.6196978477206955,0.25889755322342556,3,0.878595400944121,0.6526567332537971,0.7614328554627634,synchronized,1
31,-0.521222571477021,0.16023777180744309,3,0.6814603432844641,0.6905301536285448,0.8056185125666356,synchronized,1
32,-0.7578822732869629,0.06298196283406597,3,0.8208642361210289,0.7364327226464943,0.8591715097542434,synchronized,1
33,-0.9170073888744593,-0.03942000874914825,3,0.8775873801253111,0.7647455613000382,0.8922031548500446,synchronized,1
34,-0.8291857652603284,-0.11169039315832915,3,0.7174953721019992,0.7758805283766776,0.9051939497727907,synchronized,1
35,-1.0412896842986443,-0.2086191751776242,3,0.8326705091210201,0.7960724177311389,0.9287511540196621,synchronized,1
36,-0.9608210300647165,-0.31487740723214946,3,0.645943622832567,0.7826188540914949,0.9130553297734108,synchronized,1
37,-1.1529576223968614,-0.3920236609363763,3,0.7609339614604851,0.7878075180197041,0.9191087710229882,synchronized,1
38,-1.1055476728872524,-0.4894135644407165,3,0.6161341084465359,0.765991716229211,0.893657002267413,synchronized,1
39,-0.9710590368449112,-0.5601246842843165,3,0.41093435256059474,0.7242619286998127,0.8449722501497815,synchronized,1
40,-0.8998469482635056,-0.6490496250011982,3,0.2507973232623074,0.6614821209316314,0.7717291410869034,synchronized,1
41,-0.9023674585310459,-0.7175243321841064,3,0.18484312634693956,0.6118203992378789,0.7137904657775255,synchronized,1
42,-0.8681863560176513,-0.7555545378832271,3,0.11263181813442413,0.5409971574392184,0.6311633503457549,synchronized,1
43,-0.8124769759822396,-0.7771983994402689,3,0.03527857654197064,0.45676627708088446,0.5328939899276985,synchronized,1
44,-0.8238220847997861,-0.7959737583038855,3,0.027848326495900633,0.38780157252027453,0.4524351679403203,synchronized,1
45,-0.6692697866708085,-0.8068056479609503,3,0.13753586129014184,0.31828810773718674,0.37133612569338453,synchronized,1
46,-0.5451301791760413,-0.8076563471641437,3,0.26252616798810235,0.2799463622527402,0.3266040892948636,synchronized,1
47,-0.3123746018957338,-0.8100812078094901,3,0.4977066059137563,0.2536236266980673,0.2958942311477452,synchronized,1
48,-0.25192603503344896,-0.7889594946386879,3,0.5370334596052388,0.2457135618139376,0.28666582211626057,synchronized,1
49,-0.29856964343716175,-0.7523850973192908,3,0.45381545388212907,0.2500016719460911,0.29166861727043963,synchronized,1
50,-0.007252498995973217,-0.6863835230057572,3,0.679131024009784,0.2928350420208387,0.34164088235764517,synchronized,1
51,0.060879166056872436,-0.621214899809911,3,0.6820940658667833,0.3425601359728231,0.39965349196829364,synchronized,1
52,0.16096622806333882,-0.5728181113539985,3,0.7337843394173373,0.4046753881011145,0.47212128611796694,synchronized,1
53,0.3841314553273549,-0.4879832695002947,3,0.8721147248276495,0.4883590029296824,0.5697521700846294,synchronized,1
54,0.5325240355802937,-0.40565390416671965,3,0.9381779397470134,0.5793919642547936,0.6759572916305925,synchronized,1
55,0.632370417620236,-0.3206608843322109,3,0.953031301952447,0.6609415083210242,0.7710984263745282,synchronized,1
56,0.589849196860978,-0.21494203338327605,3,0.8047912302442541,0.7151680145466393,0.8343626836377458,synchronized,1
57,0.7211161431403903,-0.10282212303874058,3,0.8239382661791309,0.7477911805731767,0.8724230440020395,synchronized,1
58,0.8495819535237906,0.007456758060105914,3,0.8421251954636847,0.7783003541590213,0.9080170798521916,synchronized,1
59,0.965508333153864,0.09481562388023673,3,0.8706927092736272,0.8199880796981711,0.9566527596478663,synchronized,1
60,0.7151527884120145,0.18876070176925974,3,0.5263920866427547,0.8047141859614682,0.9388332169550463,synchronized,1
61,0.6433542748683475,0.2878838895324394,3,0.35547038533590813,0.7720518179083807,0.9007271208931109,synchronized,1
62,0.4611327350975803,0.38952755607565304,3,0.07160517902192726,0.7058339018688397,0.8234728855136463,synchronized,1
63,0.33442195531530294,0.43837134092610724,3,0.1039493856108043,0.6290173679471551,0.7338535959383476,synchronized,1
64,0.3672032159084,0.47988855804899333,4,0.11268534214059334,0.5464681081865133,0.667905465561294,synchronized,1
