step,time_hours,x_m,y_m,corridor_center_y_m,corridor_error_m,vx_m_s,vy_m_s,speed_m_s,distance_to_earth_m,distance_to_moon_m,boundary_pressure,status
42,7.0,512541.66335722676,141502.2642292643,117287.68894471091,24214.5752845534,1204.9235756070484,332.6547413555468,1250.0,531715.9462147071,383887484.4157575,0.1667450058215259,STABLE_CORRIDOR
43,7.166666666666667,-210412.48083683313,-58090.58482258546,0.0,-58090.58482258546,-1204.9235736567664,-332.65474841974964,1250.0,218284.05378529296,384610416.86776435,0.16624667527050702,STABLE_CORRIDOR
44,7.333333333333333,512541.66050682333,141502.27455383693,117287.68829244145,24214.58626139548,1204.923568906094,332.65476562737064,1250.0,531715.946214707,383887484.41861165,0.16674501320549928,STABLE_CORRIDOR
45,7.5,-210412.47966666392,-58090.589061107545,0.0,-58090.589061107545,-1204.923566955812,-332.6547726915741,1250.0,218284.0537852931,384610416.86659485,0.16624668272934442,STABLE_CORRIDOR
46,7.666666666666667,512541.65765641944,141502.28487841043,117287.68764017189,24214.597238238537,1204.923562205139,332.6547898991966,1250.0,531715.9462147069,383887484.4214659,0.16674502058947316,STABLE_CORRIDOR
47,7.833333333333333,-210412.47849649447,-58090.593299629894,0.0,-58090.593299629894,-1204.9235602548565,-332.65479696340054,1250.0,218284.05378529316,384610416.8654253,0.16624669018818244,STABLE_CORRIDOR
48,8.0,512541.6548060151,141502.29520298456,117287.68698790221,24214.60821508235,1204.9235555041826,332.6548141710241,1249.9999999999998,531715.9462147068,383887484.4243201,0.1667450279734477,STABLE_CORRIDOR
49,8.166666666666666,-210412.47732632502,-58090.597538152535,0.0,-58090.597538152535,-1204.9235535539,-332.6548212352285,1250.0,218284.0537852934,384610416.86425585,0.16624669764702105,STABLE_CORRIDOR
50,8.333333333333334,512541.6519556105,141502.30552755928,117287.68633563249,24214.619191926788,1204.923548803226,332.654838442853,1250.0000000000002,531715.9462147068,383887484.4271743,0.16674503535742274,STABLE_CORRIDOR
51,8.5,-210412.4761561551,-58090.60177667538,0.0,-58090.60177667538,-1204.9235468529428,-332.65484550705776,1250.0,218284.0537852933,384610416.8630863,0.16624670510586007,STABLE_CORRIDOR
