step,global_coherence,fragmentation,variance,avg_trust,avg_echo_integrity,quarantined_nodes,alive,edges,avg_degree,edge_efficiency,state
83,0.76887505575409,0.23112494424591,0.02932921903328473,0.9589625000000002,1.0,0,60,193,6.433333333333334,0.003983808579036735,RECOVERING
84,0.8020989459235202,0.19790105407647984,0.025034631066586963,0.9571833333333334,1.0,0,60,193,6.433333333333334,0.004155953087686633,RECOVERING
85,0.8119468198279567,0.1880531801720433,0.020436835319116813,0.9579124999999998,1.0,0,60,193,6.433333333333334,0.004206978341077496,RECOVERING
86,0.8265131279019009,0.1734868720980991,0.01753390991253972,0.9576791666666665,1.0,0,60,193,6.433333333333334,0.004282451439906222,RECOVERING
87,0.849346386654462,0.15065361334553795,0.014313688128250492,0.9558125,1.0,0,60,193,6.433333333333334,0.004400758480074933,RECOVERING
88,0.8707592541866875,0.12924074581331246,0.010416661693486923,0.9561041666666665,1.0,0,60,193,6.433333333333334,0.0045117059802419045,RECOVERING
89,0.8897976363532246,0.11020236364677538,0.007652715535185718,0.9580583333333335,1.0,0,60,193,6.433333333333334,0.004610350447426035,RECOVERING
90,0.9072394007014805,0.09276059929851954,0.00564982931917295,0.9603625000000001,1.0,0,60,193,6.433333333333334,0.00470072228342736,RECOVERED
91,0.8979990873795504,0.10200091262044964,0.003879967438077607,0.9631624999999999,1.0,0,60,193,6.433333333333334,0.0046528450123292766,ADAPTING
92,0.8690794942311008,0.13092050576889924,0.0027952594936654584,0.9657,1.0,0,60,193,6.433333333333334,0.004503002560782905,ADAPTING
93,0.8351831923882533,0.16481680761174666,0.0023971213301594353,0.9668375,1.0,0,60,193,6.433333333333334,0.004327374053825147,ADAPTING
94,0.8146825037770212,0.18531749622297877,0.002211465074443623,0.9660791666666666,1.0,0,60,193,6.433333333333334,0.004221152869310991,ADAPTING
95,0.8100871342522659,0.18991286574773414,0.002111812265121737,0.9638625,1.0,0,60,193,6.433333333333334,0.004197342664519512,ADAPTING
96,0.8202740876479154,0.17972591235208457,0.0019590093991857715,0.9615875,1.0,0,60,193,6.433333333333334,0.004250124806465883,ADAPTING
97,0.8374102054423553,0.16258979455764466,0.0015654166346090526,0.9634541666666666,1.0,0,60,193,6.433333333333334,0.004338912981566608,ADAPTING
98,0.851555085342121,0.148444914657879,0.0012542313087560433,0.9666333333333335,1.0,0,60,193,6.433333333333334,0.004412202514726016,ADAPTING
99,0.8578936227597959,0.14210637724020414,0.0011477609588270432,0.9717374999999998,1.0,0,60,193,6.433333333333334,0.004445044677511896,ADAPTING
100,0.8532451583814147,0.14675484161858532,0.0010192502972193155,0.9754124999999999,1.0,0,60,193,6.433333333333334,0.00442095936985189,ADAPTING
101,0.8422064264047063,0.15779357359529367,0.0010437669680064426,0.9771041666666668,1.0,0,60,193,6.433333333333334,0.004363763867381898,ADAPTING
102,0.8318555876938267,0.16814441230617327,0.001270601972760976,0.9785041666666667,1.0,0,60,193,6.433333333333334,0.004310132578724491,ADAPTING
103,0.8251755476322147,0.17482445236778532,0.0015356233800948992,0.9780083333333334,1.0,0,60,193,6.433333333333334,0.004275520972187641,ADAPTING
104,0.8208210368338202,0.17917896316617976,0.0015703944151544923,0.9761416666666668,1.0,0,60,193,6.433333333333334,0.0042529587400716076,ADAPTING
105,0.8214285904593729,0.1785714095406271,0.0015387605024008585,0.9746833333333333,1.0,0,60,193,6.433333333333334,0.004256106686317995,ADAPTING
106,0.8273849134119483,0.1726150865880517,0.0015159777263127033,0.9747416666666666,1.0,0,60,193,6.433333333333334,0.004286968463274344,ADAPTING
107,0.8347988053602642,0.16520119463973582,0.0015656799351535982,0.9767541666666666,1.0,0,60,193,6.433333333333334,0.004325382411193079,ADAPTING
108,0.8380573121147626,0.16194268788523736,0.0013450821445712999,0.9787375,1.0,0,60,193,6.433333333333334,0.0043422658658795995,ADAPTING
109,0.8376370542990583,0.16236294570094167,0.0011450084359718295,0.9810416666666666,1.0,0,60,193,6.433333333333334,0.004340088364243826,ADAPTING
110,0.8322948298186653,0.16770517018133468,0.0011145550570619456,0.9822666666666667,1.0,0,60,193,6.433333333333334,0.004312408444656297,ADAPTING
111,0.8293234890108722,0.17067651098912784,0.0012450047739871472,0.9817708333333333,1.0,0,60,193,6.433333333333334,0.004297012896429389,ADAPTING
112,0.8258969909176209,0.17410300908237908,0.001383556012217187,0.9813625,1.0,0,60,193,6.433333333333334,0.004279259020298554,ADAPTING
113,0.8251243516217975,0.17487564837820246,0.0015425914278453425,0.9810125000000001,1.0,0,60,193,6.433333333333334,0.004275255707884961,ADAPTING
114,0.8271865282273354,0.1728134717726646,0.0017863074924196693,0.9802541666666668,1.0,0,60,193,6.433333333333334,0.004285940560763396,ADAPTING
115,0.8305653552255386,0.16943464477446135,0.0015260990872302176,0.9799041666666667,1.0,0,60,193,6.433333333333334,0.004303447436401754,ADAPTING
116,0.8336605640874865,0.16633943591251354,0.0012332941345976577,0.9803125,1.0,0,60,193,6.433333333333334,0.004319484788018064,ADAPTING
117,0.83398807029888,0.16601192970112,0.0015592931483285337,0.9826750000000001,1.0,0,60,193,6.433333333333334,0.004321181711393161,ADAPTING
118,0.833900850041743,0.16609914995825703,0.001778921676649636,0.9839291666666666,1.0,0,60,193,6.433333333333334,0.004320729792962399,ADAPTING
119,0.8335525993785186,0.16644740062148144,0.001738567555832391,0.9843375000000002,1.0,0,60,193,6.433333333333334,0.0043189253853809255,ADAPTING
120,0.8692308413948455,0.13076915860515448,0.0013924504119614857,0.9829166666666667,1.0,0,42,193,9.19047619047619,0.004503786742978474,RECOVERING
121,0.9105848377767438,0.08941516222325618,0.0010147842151025414,0.9881249999999999,1.0,0,42,193,9.19047619047619,0.004718056154283647,RECOVERED
122,0.9162244275667901,0.08377557243320988,0.0007150515434861638,0.9921249999999999,1.0,0,42,193,9.19047619047619,0.004747276826770933,RESONANCE
123,0.8901196292493548,0.10988037075064516,0.0014209989337871866,0.9940416666666666,1.0,0,42,193,9.19047619047619,0.004612018804400802,ADAPTING
124,0.8485693890951895,0.15143061090481047,0.0025466486074357483,0.9949166666666668,1.0,0,42,193,9.19047619047619,0.004396732585985438,ADAPTING
125,0.8047795430577815,0.19522045694221846,0.0030315407200176506,0.9925833333333335,1.0,0,42,193,9.19047619047619,0.0041698421920092306,ADAPTING
126,0.7812384415067561,0.21876155849324386,0.002596177355634633,0.9870416666666667,1.0,0,42,193,9.19047619047619,0.004047867572573866,ADAPTING
127,0.7826092865136483,0.21739071348635175,0.0023888057987986816,0.9814999999999999,1.0,0,42,193,9.19047619047619,0.004054970396443773,ADAPTING
128,0.8027288639139539,0.19727113608604607,0.0026621614959946925,0.977,1.0,0,42,193,9.19047619047619,0.004159216911471264,ADAPTING
129,0.8287143279195677,0.17128567208043233,0.0022258281745069224,0.9756666666666669,1.0,0,42,193,9.19047619047619,0.00429385662134491,ADAPTING
130,0.8500153059695401,0.1499846940304599,0.0015316881860776893,0.9768333333333333,1.0,0,42,193,9.19047619047619,0.004404224383261866,ADAPTING
131,0.8605596805058489,0.13944031949415114,0.0010132900267667,0.9811666666666667,1.0,0,42,193,9.19047619047619,0.004458858448216834,ADAPTING
132,0.8579012332327,0.14209876676730004,0.001265801188524392,0.9860416666666667,1.0,0,42,193,9.19047619047619,0.004445084110013989,ADAPTING
133,0.8417058196586024,0.15829418034139764,0.0021423604450548925,0.9897499999999999,1.0,0,42,193,9.19047619047619,0.004361170050044572,ADAPTING
134,0.8217094531856726,0.17829054681432743,0.002090128951135224,0.9899583333333333,1.0,0,42,193,9.19047619047619,0.004257561933604521,ADAPTING
135,0.8073702579228914,0.1926297420771086,0.0018722685358433767,0.9875,1.0,0,42,193,9.19047619047619,0.004183265585092702,ADAPTING
136,0.8011357224989243,0.19886427750107571,0.0024728626130288214,0.9829166666666668,1.0,0,42,193,9.19047619047619,0.00415096229274054,ADAPTING
137,0.8030356386569811,0.19696436134301887,0.0027784325109092103,0.97875,1.0,0,42,193,9.19047619047619,0.004160806417911819,ADAPTING
138,0.8144840900457905,0.18551590995420952,0.002455669643758662,0.9779583333333333,1.0,0,42,193,9.19047619047619,0.004220124818890106,ADAPTING
139,0.8300324338181211,0.16996756618187892,0.0019106385376352639,0.9764999999999999,1.0,0,42,193,9.19047619047619,0.00430068618558612,ADAPTING
140,0.8423681350564917,0.15763186494350834,0.0013796694627974612,0.9778333333333334,1.0,0,42,193,9.19047619047619,0.004364601736043998,ADAPTING
141,0.8491622355270323,0.1508377644729677,0.0013320373474789626,0.9816666666666666,1.0,0,42,193,9.19047619047619,0.0043998043291556075,ADAPTING
142,0.845996286705294,0.15400371329470597,0.001790769936595672,0.98525,1.0,0,42,193,9.19047619047619,0.004383400449250228,ADAPTING
143,0.8322817252921962,0.16771827470780376,0.0022167541644896975,0.9872916666666667,1.0,0,42,193,9.19047619047619,0.004312340545555421,ADAPTING
144,0.8147435814852121,0.1852564185147879,0.002671869510779805,0.9864583333333333,1.0,0,42,193,9.19047619047619,0.00422146933412027,ADAPTING
145,0.8092687844675082,0.19073121553249184,0.0025830654478511566,0.9828750000000002,1.0,0,42,193,9.19047619047619,0.004193102510194343,ADAPTING
146,0.81266477928432,0.18733522071567998,0.0021807288692364886,0.980125,1.0,0,42,193,9.19047619047619,0.0042106983382607256,ADAPTING
147,0.8256368600151831,0.1743631399848169,0.0022115620485311347,0.9788333333333332,1.0,0,42,193,9.19047619047619,0.004277911191788514,ADAPTING
148,0.8379951370908773,0.16200486290912275,0.002280337847941263,0.979625,1.0,0,42,193,9.19047619047619,0.004341943715496773,ADAPTING
149,0.8442887688839329,0.1557112311160671,0.002043471872519943,0.9824166666666668,1.0,0,42,193,9.19047619047619,0.004374553206652502,ADAPTING
150,0.875525225692215,0.12447477430778497,0.0015137231572239728,0.9519464285714285,0.7478726742356753,0,42,193,9.19047619047619,0.004536400133120285,RECOVERING
151,0.9148083863370617,0.08519161366293826,0.0012891426020110429,0.9216845238095237,0.7505044540025572,0,42,193,9.19047619047619,0.004739939825580631,RECOVERED
152,0.9201828535527712,0.07981714644722882,0.0013691922997262362,0.8915476190476189,0.7346601316148021,0,42,193,9.19047619047619,0.004767786805972908,RESONANCE
153,0.9067713777986162,0.09322862220138384,0.0019761770530647223,0.8606190476190476,0.7578357835948906,12,42,193,9.19047619047619,0.004698297294293348,RESONANCE
154,0.8875841296359727,0.11241587036402734,0.0039384897055151965,0.8286904761904762,0.7347758882718032,12,42,193,9.19047619047619,0.004598881500704521,ADAPTING
155,0.8939626306111802,0.1060373693888198,0.003014969205295626,0.8097857142857142,0.7545024065225441,12,42,49,2.3333333333333335,0.018244135318595513,RECOVERING
156,0.9075499258963612,0.09245007410363881,0.0010441521846479894,0.810952380952381,0.7433324733993827,12,42,49,2.3333333333333335,0.018521427059109412,RECOVERED
157,0.9127541620761767,0.08724583792382334,0.0005712190853558469,0.8127857142857143,0.7533308993834711,12,42,49,2.3333333333333335,0.018627635960738298,RESONANCE
158,0.9037098511936599,0.09629014880634013,0.0011202937208259051,0.8138690476190475,0.7503979274461641,12,42,49,2.3333333333333335,0.018443058187625712,RESONANCE
159,0.8877779703848939,0.11222202961510608,0.0029232463695069632,0.8139940476190477,0.751625132426356,12,42,49,2.3333333333333335,0.018117917762957018,ADAPTING
160,0.9024357159024925,0.0975642840975075,0.0031345569929992997,0.8128273809523809,0.7391564659740281,12,42,54,2.5714285714285716,0.016711772516712825,RECOVERED
161,0.9130351090927413,0.08696489090725867,0.003153298929264594,0.8132440476190477,0.7589702526427933,12,42,54,2.5714285714285716,0.016908057575791505,RESONANCE
162,0.9072198366260447,0.09278016337395534,0.0036782340793565828,0.813827380952381,0.7431034506278019,12,42,54,2.5714285714285716,0.016800367344926754,RESONANCE
163,0.8939952128410018,0.10600478715899819,0.004850572453352745,0.813827380952381,0.7465006942116829,12,42,54,2.5714285714285716,0.016555466904462995,ADAPTING
164,0.8803077532484984,0.11969224675150159,0.005530985222641898,0.8122023809523808,0.7481399121738734,12,42,54,2.5714285714285716,0.01630199543052775,ADAPTING
165,0.8908511872474911,0.10914881275250887,0.002707566502877695,0.8107440476190475,0.7345469458034599,12,42,59,2.8095238095238093,0.015099172665211715,RECOVERING
166,0.9106713901143777,0.0893286098856223,0.001077488909568068,0.811577380952381,0.7529076795898102,12,42,59,2.8095238095238093,0.01543510830702335,RECOVERED
167,0.9155898726980484,0.08441012730195163,0.0006480434992625914,0.8132440476190477,0.7462929412988163,12,42,59,2.8095238095238093,0.01551847241861099,RESONANCE
168,0.9078459040645027,0.09215409593549728,0.0010399786924133118,0.8139940476190477,0.7530807883608945,12,42,59,2.8095238095238093,0.015387218712957673,RESONANCE
169,0.8905399018193636,0.1094600981806364,0.003224654490284753,0.8142857142857144,0.7509234115675562,12,42,59,2.8095238095238093,0.015093896641006162,ADAPTING
170,0.7209682490999334,0.2790317509000666,0.04864664787943132,0.8047440476190476,0.7541935686361603,12,42,64,3.0476190476190474,0.01126512889218646,RECOVERING
171,0.7374656027901418,0.26253439720985816,0.040889953845842576,0.7972023809523809,0.743457658859271,12,42,64,3.0476190476190474,0.011522900043595966,RECOVERING
172,0.7808143836134298,0.2191856163865702,0.02800322852012474,0.7917857142857143,0.746276009590508,12,42,64,3.0476190476190474,0.01220022474395984,RECOVERING
173,0.824439772731467,0.17556022726853304,0.01973299782412102,0.7900357142857143,0.7463716166132635,12,42,64,3.0476190476190474,0.012881871448929171,RECOVERING
174,0.8514763030032204,0.1485236969967796,0.015547248660288105,0.7905357142857143,0.7438687745846823,12,42,64,3.0476190476190474,0.013304317234425319,RECOVERING
175,0.8651276288239571,0.1348723711760429,0.012849232548535068,0.790327380952381,0.7544318250114537,12,42,69,3.2857142857142856,0.0125380815771588,RECOVERING
176,0.8750328975330742,0.12496710246692577,0.01053112164393075,0.7916607142857143,0.7412356931982094,12,42,69,3.2857142857142856,0.01268163619613151,RECOVERING
177,0.8913634609024021,0.10863653909759785,0.008572121232019708,0.7926607142857143,0.7445702755435496,12,42,69,3.2857142857142856,0.012918311027571046,RECOVERING
178,0.9112254689688386,0.0887745310311614,0.006702469959727476,0.7939107142857144,0.7413117367954873,12,42,69,3.2857142857142856,0.01320616621693969,RECOVERED
179,0.9096734464282719,0.09032655357172814,0.0050599502180356205,0.7954940476190476,0.7518250948467572,12,42,69,3.2857142857142856,0.013183673136641622,RESONANCE
180,0.9135259059653025,0.08647409403469752,0.003593825916069702,0.7967857142857143,0.7454250630160026,12,42,74,3.5238095238095237,0.01234494467520679,RECOVERED
181,0.9072431967672792,0.09275680323272084,0.003024980653734572,0.7984107142857142,0.7423611827137874,12,42,74,3.5238095238095237,0.012260043199557827,RESONANCE
182,0.8939291536884639,0.10607084631153607,0.0028685778683896594,0.8001190476190477,0.7447606896778205,12,42,74,3.5238095238095237,0.012080123698492757,ADAPTING
183,0.8791915132738933,0.12080848672610667,0.003736925136891612,0.8015357142857144,0.7552158909152246,12,42,74,3.5238095238095237,0.011880966395593153,ADAPTING
184,0.869849528333479,0.13015047166652105,0.005082027757959934,0.8011190476190476,0.7436051934216058,12,42,74,3.5238095238095237,0.011754723355857824,ADAPTING
185,0.8932628805900291,0.10673711940997088,0.0035427566391121454,0.8006190476190478,0.7454143570117568,12,42,79,3.761904761904762,0.011307125070759863,RECOVERING
186,0.9212757989569805,0.07872420104301947,0.0018879610830896587,0.8027440476190477,0.7412168794482268,12,42,79,3.761904761904762,0.011661718974138995,RECOVERED
187,0.9308598391468843,0.0691401608531157,0.0010327914463791135,0.8047023809523808,0.7468762653583327,12,42,79,3.761904761904762,0.011783035938568156,RESONANCE
188,0.9196259429093778,0.08037405709062218,0.00089349717009107,0.805702380952381,0.7501102032780291,12,42,79,3.761904761904762,0.01164083472037187,RESONANCE
