topology,final_global_coherence,final_fragmentation,final_variance,final_avg_trust,final_echo_integrity,final_quarantined_nodes,final_edges,final_avg_degree,final_edge_efficiency,failed_nodes,bad_echo_nodes,alive_nodes,bad_echo_avg_trust,bad_echo_integrity,bad_echo_quarantined,total_removed_edges,total_added_edges,edge_limit
ring,0.8665871755683308,0.13341282443166924,0.005378315147835045,0.8064107142857143,0.7498299746045505,12,84,4.0,0.01031651399486108,18,12,42,0.35000000000000003,0.1244049111159266,12,45,90,84
mesh,0.8749638274340825,0.12503617256591748,0.003996587344044357,0.8069523809523809,0.7446910581010999,12,84,4.0,0.010416236040881936,18,12,42,0.35000000000000003,0.10641870335385,12,149,69,84
hierarchical,0.8686346016123453,0.1313653983876547,0.004949720149144017,0.806202380952381,0.7532949336100125,12,84,4.0,0.010340888114432682,18,12,42,0.35000000000000003,0.13653226763504453,12,50,80,84
