step,global_coherence,fragmentation,variance,avg_trust,avg_echo_integrity,quarantined_nodes,alive,edges,avg_degree,edge_efficiency,state
0,0.5939165198943476,0.40608348010565243,0.041333121492290514,0.9872833333333334,1.0,0,60,79,2.6333333333333333,0.00751793063157402,ADAPTING
1,0.6468767613145646,0.3531232386854354,0.04046796430347621,0.9770749999999999,1.0,0,60,79,2.6333333333333333,0.008188313434361577,ADAPTING
2,0.6862787899080446,0.3137212100919554,0.0376583320082521,0.9703375000000001,1.0,0,60,79,2.6333333333333333,0.008687073289975249,ADAPTING
3,0.7240106247637376,0.27598937523626244,0.03931753112586281,0.9650875,1.0,0,60,79,2.6333333333333333,0.009164691452705539,ADAPTING
4,0.7465431648521934,0.2534568351478066,0.032973771492726366,0.9590208333333335,1.0,0,60,79,2.6333333333333333,0.009449913479141689,ADAPTING
5,0.7595469247365436,0.24045307526345638,0.025501023243905796,0.9542375000000001,1.0,0,60,79,2.6333333333333333,0.009614518034639792,ADAPTING
6,0.7786914998660033,0.22130850013399672,0.021104549466760995,0.9489291666666666,1.0,0,60,79,2.6333333333333333,0.009856854428683585,ADAPTING
7,0.801884117584739,0.198115882415261,0.017682534994986447,0.9462458333333335,1.0,0,60,79,2.6333333333333333,0.010150431868161253,ADAPTING
8,0.824164317994912,0.17583568200508803,0.015987395380576374,0.944875,1.0,0,60,79,2.6333333333333333,0.010432459721454582,ADAPTING
9,0.8356885534259564,0.16431144657404362,0.014148589779434255,0.9441166666666665,1.0,0,60,79,2.6333333333333333,0.010578336119315903,ADAPTING
10,0.8375089329617327,0.16249106703826732,0.011947179008372995,0.9436791666666667,1.0,0,60,79,2.6333333333333333,0.01060137889824978,ADAPTING
11,0.8358568474523249,0.1641431525476751,0.01028134570014694,0.9435333333333333,1.0,0,60,79,2.6333333333333333,0.01058046642344715,ADAPTING
12,0.8298685942469075,0.1701314057530925,0.008443781702672308,0.9436500000000001,1.0,0,60,79,2.6333333333333333,0.010504665749960855,ADAPTING
13,0.8149121827977017,0.18508781720229828,0.006777186069332296,0.9438541666666667,1.0,0,60,79,2.6333333333333333,0.010315344086046858,ADAPTING
14,0.8033608422625007,0.1966391577374993,0.007458039488438457,0.9433875,1.0,0,60,79,2.6333333333333333,0.010169124585601274,ADAPTING
15,0.7979895488687537,0.20201045113124627,0.007889508346680492,0.9409958333333334,1.0,0,60,79,2.6333333333333333,0.010101133529984225,ADAPTING
16,0.7991212700880447,0.20087872991195532,0.006024292243747015,0.9392166666666668,1.0,0,60,79,2.6333333333333333,0.01011545911503854,ADAPTING
17,0.8043500289459865,0.1956499710540135,0.004901987164392492,0.9378458333333335,1.0,0,60,79,2.6333333333333333,0.010181645936025146,ADAPTING
18,0.8162677309920502,0.1837322690079498,0.005478452843215099,0.9366499999999999,1.0,0,60,79,2.6333333333333333,0.010332502923950002,ADAPTING
19,0.8300384560047321,0.16996154399526786,0.004974080382529339,0.9380208333333332,1.0,0,60,79,2.6333333333333333,0.010506815898794078,ADAPTING
20,0.8381321424897206,0.16186785751027943,0.00442346929846755,0.9413166666666667,1.0,0,60,79,2.6333333333333333,0.01060926762645216,ADAPTING
21,0.8367482274037265,0.16325177259627355,0.0042492316471776466,0.9438833333333334,1.0,0,60,79,2.6333333333333333,0.010591749713971222,ADAPTING
22,0.8303524126758981,0.1696475873241019,0.0043307352246696705,0.9451375000000001,1.0,0,60,79,2.6333333333333333,0.010510790033872128,ADAPTING
23,0.8265857412879032,0.1734142587120968,0.0041061776696936034,0.9463916666666667,1.0,0,60,79,2.6333333333333333,0.010463110649213965,ADAPTING
24,0.8279617233779537,0.1720382766220463,0.0037349233722876116,0.9464791666666666,1.0,0,60,79,2.6333333333333333,0.01048052814402473,ADAPTING
25,0.8326237952675373,0.16737620473246273,0.003560037663408486,0.9491625000000001,1.0,0,60,79,2.6333333333333333,0.010539541712247308,ADAPTING
26,0.8352831474988426,0.16471685250115742,0.003948965845180132,0.9526041666666666,1.0,0,60,79,2.6333333333333333,0.010573204398719527,ADAPTING
27,0.8341784243364162,0.1658215756635838,0.003949437209871534,0.9540916666666667,1.0,0,60,79,2.6333333333333333,0.010559220561220458,ADAPTING
28,0.8290276911426796,0.1709723088573204,0.002998109666083354,0.9543541666666667,1.0,0,60,79,2.6333333333333333,0.010494021406869362,ADAPTING
29,0.8275443863388673,0.1724556136611327,0.002795176784092505,0.9538291666666666,1.0,0,60,79,2.6333333333333333,0.010475245396694522,ADAPTING
30,0.8247720451414974,0.17522795485850262,0.003552984481879892,0.9541208333333333,1.0,0,60,79,2.6333333333333333,0.010440152470145537,ADAPTING
31,0.822082969066654,0.177917030933346,0.004445661412177368,0.9559583333333334,1.0,0,60,79,2.6333333333333333,0.010406113532489292,ADAPTING
32,0.8204351565217822,0.17956484347821777,0.0038359778458584,0.9548208333333333,1.0,0,60,79,2.6333333333333333,0.010385255145845344,ADAPTING
33,0.8159250745609017,0.1840749254390983,0.0026895488110563305,0.9549083333333335,1.0,0,60,79,2.6333333333333333,0.010328165500770908,ADAPTING
34,0.8132864815352706,0.1867135184647294,0.003075061649899691,0.9560166666666667,1.0,0,60,79,2.6333333333333333,0.010294765589054058,ADAPTING
35,0.8148304827804799,0.18516951721952013,0.003852261448758143,0.9572708333333332,1.0,0,60,79,2.6333333333333333,0.01031430990861367,ADAPTING
36,0.8200856567323159,0.17991434326768407,0.0037511446632695167,0.9589916666666668,1.0,0,60,79,2.6333333333333333,0.010380831097877416,ADAPTING
37,0.8228549947480429,0.1771450052519571,0.0032521379042999158,0.9610625,1.0,0,60,79,2.6333333333333333,0.010415886009468897,ADAPTING
38,0.8303685910768678,0.16963140892313222,0.0033725433402569454,0.9621124999999999,1.0,0,60,79,2.6333333333333333,0.01051099482375782,ADAPTING
39,0.8294050907690964,0.1705949092309036,0.0033688195036493517,0.9635999999999999,1.0,0,60,79,2.6333333333333333,0.010498798617330335,ADAPTING
40,0.8283680307364981,0.17163196926350188,0.003153759242635487,0.9621708333333334,1.0,0,60,79,2.6333333333333333,0.010485671275145545,ADAPTING
41,0.8227423490057307,0.17725765099426927,0.00324473808922019,0.9612375,1.0,0,60,79,2.6333333333333333,0.010414460113996592,ADAPTING
42,0.8217483771728091,0.17825162282719087,0.003659089099492033,0.9601583333333334,1.0,0,60,79,2.6333333333333333,0.010401878192060876,ADAPTING
43,0.8222759060659015,0.1777240939340985,0.004966746500663494,0.9601583333333336,1.0,0,60,79,2.6333333333333333,0.010408555772986095,ADAPTING
44,0.8256973352427825,0.17430266475721745,0.005484133470153727,0.9606250000000001,1.0,0,60,79,2.6333333333333333,0.010451865003073197,ADAPTING
45,0.8258395745745891,0.17416042542541088,0.004208902048575896,0.9604499999999999,1.0,0,60,79,2.6333333333333333,0.010453665500944165,ADAPTING
46,0.8217772472554586,0.17822275274454136,0.003097187717160629,0.9609749999999999,1.0,0,60,79,2.6333333333333333,0.010402243636145047,ADAPTING
47,0.8135254219818321,0.1864745780181679,0.0029840058643676786,0.9610333333333333,1.0,0,60,79,2.6333333333333333,0.01029779015166876,ADAPTING
48,0.8149572049907483,0.1850427950092517,0.0037724133799416078,0.9607416666666667,1.0,0,60,79,2.6333333333333333,0.010315913987224663,ADAPTING
49,0.8250810980043225,0.1749189019956775,0.004636377603077965,0.9610333333333333,1.0,0,60,79,2.6333333333333333,0.010444064531700286,ADAPTING
50,0.831581438594986,0.168418561405014,0.0039033452437205744,0.9611500000000001,1.0,0,60,79,2.6333333333333333,0.010526347323987165,ADAPTING
51,0.8358357636429862,0.16416423635701383,0.0029759272387799673,0.9625791666666667,1.0,0,60,79,2.6333333333333333,0.010580199539784636,ADAPTING
52,0.8382675611975533,0.1617324388024467,0.0026879518391804105,0.9641833333333332,1.0,0,60,79,2.6333333333333333,0.010610981787310802,ADAPTING
53,0.835440682497887,0.16455931750211295,0.0038560517200421636,0.9659916666666667,1.0,0,60,79,2.6333333333333333,0.010575198512631482,ADAPTING
54,0.8246646947549205,0.17533530524507945,0.0041944155720959565,0.9675666666666667,1.0,0,60,79,2.6333333333333333,0.010438793604492664,ADAPTING
55,0.8153855454694483,0.1846144545305517,0.003443875450634267,0.9679458333333335,1.0,0,60,79,2.6333333333333333,0.010321336018600611,ADAPTING
56,0.8118431390079005,0.1881568609920995,0.0032605378792894945,0.9676833333333333,1.0,0,60,79,2.6333333333333333,0.010276495430479753,ADAPTING
57,0.8160713725514505,0.18392862744854954,0.0037247441080176446,0.9665458333333334,1.0,0,60,79,2.6333333333333333,0.010330017374068993,ADAPTING
58,0.8260887954913926,0.17391120450860742,0.00402188823096205,0.9659041666666666,1.0,0,60,79,2.6333333333333333,0.010456820196093577,ADAPTING
59,0.8342808568911434,0.1657191431088566,0.0038485518307888344,0.9667791666666666,1.0,0,60,79,2.6333333333333333,0.010560517175837258,ADAPTING
60,0.8334729956124546,0.16652700438754542,0.0035298175582503333,0.9669833333333333,1.0,0,60,79,2.6333333333333333,0.010550291083701957,ADAPTING
61,0.8291583666443707,0.1708416333556293,0.0031105963481517966,0.9697250000000001,1.0,0,60,79,2.6333333333333333,0.010495675527143932,ADAPTING
62,0.8258924259250218,0.17410757407497823,0.003485428702037889,0.9711541666666667,1.0,0,60,79,2.6333333333333333,0.010454334505380022,ADAPTING
63,0.828124774371064,0.17187522562893598,0.004239119588177983,0.9720291666666666,1.0,0,60,79,2.6333333333333333,0.01048259208064638,ADAPTING
64,0.8284601360972934,0.1715398639027066,0.0034834376541086837,0.9725541666666667,1.0,0,60,79,2.6333333333333333,0.010486837165788524,ADAPTING
65,0.824777170373882,0.17522282962611802,0.002912623019706135,0.9741875,1.0,0,60,79,2.6333333333333333,0.010440217346504835,ADAPTING
66,0.8197431912736165,0.1802568087263835,0.0030057511242782046,0.9744791666666668,1.0,0,60,79,2.6333333333333333,0.010376496092071094,ADAPTING
67,0.823046817457787,0.17695318254221304,0.003784575448270935,0.9745666666666667,1.0,0,60,79,2.6333333333333333,0.010418314145035279,ADAPTING
68,0.8256931035319184,0.17430689646808162,0.003811741610289412,0.9750333333333334,1.0,0,60,79,2.6333333333333333,0.010451811437112891,ADAPTING
69,0.8319409151974276,0.16805908480257237,0.004488296844067205,0.9751208333333334,1.0,0,60,79,2.6333333333333333,0.010530897660726932,ADAPTING
70,0.8329013529205516,0.16709864707944844,0.00501724672687863,0.9746833333333333,1.0,0,60,79,2.6333333333333333,0.010543055100260147,ADAPTING
71,0.8290677271458232,0.17093227285417678,0.004545589588294846,0.9733708333333333,1.0,0,60,79,2.6333333333333333,0.01049452819171928,ADAPTING
72,0.82357339371862,0.17642660628137996,0.003969519791513628,0.9743916666666667,1.0,0,60,79,2.6333333333333333,0.010424979667324304,ADAPTING
73,0.8214792143277906,0.17852078567220941,0.004370831410433454,0.9758791666666667,1.0,0,60,79,2.6333333333333333,0.010398471067440388,ADAPTING
74,0.8303957059878649,0.16960429401213506,0.00472930936511526,0.9759666666666668,1.0,0,60,79,2.6333333333333333,0.010511338050479303,ADAPTING
75,0.837908086770809,0.16209191322919103,0.004139164405865861,0.9775125,1.0,0,60,79,2.6333333333333333,0.010606431478111506,ADAPTING
76,0.8439796555248741,0.15602034447512592,0.0034765658198086316,0.9788833333333333,1.0,0,60,79,2.6333333333333333,0.010683286778795875,ADAPTING
77,0.8416171321498586,0.15838286785014144,0.003219737092602798,0.9803124999999999,1.0,0,60,79,2.6333333333333333,0.010653381419618463,ADAPTING
78,0.8350897091639803,0.1649102908360197,0.0034673107599466624,0.98145,1.0,0,60,79,2.6333333333333333,0.010570755812202282,ADAPTING
79,0.8286212710239765,0.17137872897602346,0.004368317976141281,0.9829083333333334,1.0,0,60,79,2.6333333333333333,0.010488876848404766,ADAPTING
80,0.6672451073818512,0.33275489261814883,0.043451884696599684,0.9724083333333334,1.0,0,60,79,2.6333333333333333,0.008446140599770268,RECOVERING
81,0.6915617825782563,0.3084382174217437,0.041278632291506176,0.9649708333333334,1.0,0,60,79,2.6333333333333333,0.008753946614914637,RECOVERING
82,0.7357829586690333,0.2642170413309667,0.033294881221984235,0.9607416666666667,1.0,0,60,79,2.6333333333333333,0.0093137083375827,RECOVERING
83,0.7780757177708877,0.2219242822291123,0.02950366723268292,0.9578541666666668,1.0,0,60,79,2.6333333333333333,0.009849059718618831,RECOVERING
