t,stability_S,energy_margin_E,raw_risk,risk_control_R,goal_alignment_G,correction_cost_C,variance_V,uncertainty_U,weight_stability_Ws,weight_energy_We,weight_risk_Wr,weight_goal_Wg,mission_control_score,control_state,control_action,control_state_number
0,0.8324177943428305,0.8857346213149847,0.17680206147860725,0.8231979385213928,0.8861560353777724,0.3118269075004946,0.14283769992924844,0.28289883543816036,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.49226787527780747,protect,reduce_speed_or_load,2
1,0.8150433011211425,0.8957347362469252,0.15611149116327017,0.8438885088367298,0.8413544735863882,0.32416396828859606,0.08089909466215361,0.2829153621447222,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.5023623853837874,adjust,adaptive_correction,3
2,0.8331920740266324,0.9046897597681272,0.13983884571344357,0.8601611542865564,0.8441656812769425,0.29167282355280805,0.10317874472743079,0.2833909872414489,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.5123346874013083,adjust,adaptive_correction,3
3,0.8535755349155226,0.9089835773397114,0.18508659719974502,0.8149134028002549,0.881593591264767,0.307631075472613,0.10892440292689545,0.28218150485510446,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.5081187441010987,adjust,adaptive_correction,3
4,0.8081458467905606,0.8695946415763056,0.16109124196485264,0.8389087580351473,0.8657854892857578,0.30283853315116976,0.12155276363420997,0.2949399401958471,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.49114823704968297,protect,reduce_speed_or_load,2
5,0.8066460983611129,0.8829789448705699,0.14444367493743962,0.8555563250625604,0.8543827901356372,0.3256185684808483,0.1272127811360747,0.292633490150925,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.4863472938303816,protect,reduce_speed_or_load,2
6,0.8504796090389473,0.8782509377726199,0.16383570715308227,0.8361642928469177,0.8541931029169635,0.2770701134171195,0.1248621064095233,0.2686281575659258,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.511307082220966,adjust,adaptive_correction,3
7,0.8286848155029936,0.8728400079748282,0.1529613479617449,0.8470386520382551,0.8566187937929121,0.3264643292490155,0.13412733806341412,0.27490123898965446,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.49011351205591763,protect,reduce_speed_or_load,2
8,0.7962615920086719,0.9141780837408032,0.22217861917834775,0.7778213808216523,0.8348082973101916,0.32779491006217776,0.13292327678912003,0.27657495708763213,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.476871724686303,protect,reduce_speed_or_load,2
9,0.8200617378100145,0.8874895411398465,0.20204112052417042,0.7979588794758296,0.8260798624016766,0.2872757463618042,0.11810174089621071,0.3375115169481746,0.2631578947368421,0.2368421052631579,0.2631578947368421,0.2368421052631579,0.4771619319004383,protect,reduce_speed_or_load,2
