timestamp,context,tick,odi,f_friction,mi_drive,state,omega_sandbox,mean_joule_energy,beta_local,delta_local,intrinsic_willingness
2026-05-18 18:55:56,SOCIAL_CRISIS,1,0.8309595872432558,0.1625,0.34726657202401656,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,2,0.8410045747566656,0.1625,0.34171367974646705,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,3,0.839402765342308,0.1625,0.3360642769240392,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,4,0.8429901293240967,0.1625,0.342461545563693,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,5,0.834309629085741,0.1625,0.3498650137373723,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,6,0.8332199050655986,0.1625,0.3351201906041696,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,7,0.8281061921677118,0.1625,0.3472070180904248,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,8,0.8297633910938775,0.1625,0.35409972347425717,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,9,0.8249543907615529,0.1625,0.3537496965920912,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,10,0.838712072012071,0.1625,0.3429906797111286,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,11,0.8341764526880016,0.1625,0.3459657750684634,BOUND_PROJ,0.7242230692127605,65.0,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,12,0.8372201589943061,0.1625,0.3501907696744501,DISCHARGE,0.7237372052493989,65.18918303920026,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,13,0.8376584060165212,0.16297295759800065,0.34427197340811105,DISCHARGE,0.7232568211798164,65.37665934063071,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,14,0.8343227063361012,0.16344164835157676,0.3428296208246257,DISCHARGE,0.7227830666166031,65.56196562791862,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,15,0.8378879543929226,0.16390491406979657,0.3327138309992997,DISCHARGE,0.7223135741882768,65.7460149499193,0.08,0.07,0.42
2026-05-18 18:55:56,SOCIAL_CRISIS,16,0.8274919376276018,0.16436503737479824,0.3472394166053523,DISCHARGE,0.7221394840946573,65.81436538247102,0.08,0.07,0.42
